Id,name,p_name,idfk
1,1-3-Butadiene,1-3-Butadiene,1
2,1-4-Dioxane,1-4-Dioxane,2
3,1-Butanol,1-Butanol,3
4,1-Butene,1-Butene,4
5,1-Chlorobutane,1-Chlorobutane,5
6,1-Heptene,1-Heptene,6
7,1-Hexanol,1-Hexanol,7
8,1-Hexene,1-Hexene,8
9,1-Octene,1-Octene,9
10,1-Pentene,1-Pentene,10
11,1-Propanol,1-Propanol,11
12,2-Butanol,2-Butanol,12
13,2-Propanol,2-Propanol,13
14,Acetaldehyde,Acetaldehyde,14
15,Acetic_acid,Acetic_acid,15
16,Acetone,Acetone,16
17,Acetonitrile,Acetonitrile,17
18,Acetylene,Acetylene,18
19,Air,Air,19
20,Ammonia,Ammonia,20
21,Argon,Argon,21
22,Benzene,Benzene,22
23,Benzoic_acid,Benzoic_acid,23
24,Biphenyl,Biphenyl,24
25,Bromine,Bromine,25
26,Carbon_dioxide,Carbon_dioxide,26
27,Carbon_disulfide,Carbon_disulfide,27
28,Carbon_monoxide,Carbon_monoxide,28
29,Carbon_tetrachloride,Carbon_tetrachloride,29
30,Chlorine,Chlorine,30
31,Chlorobenzene,Chlorobenzene,31
32,Chloroform,Chloroform,32
33,cis-2-Butene,cis-2-Butene,33
34,Cumene,Cumene,34
35,Cyclohexane,Cyclohexane,35
36,Cyclohexene,Cyclohexene,36
37,Cyclopentane,Cyclopentane,37
38,Dichloromethane,Dichloromethane,38
39,Diethyl_ether,Diethyl_ether,39
40,Dinitrogen_tetroxide,Dinitrogen_tetroxide,40
41,Ethane,Ethane,41
42,Ethanol,Ethanol,42
43,Ethyl_acetate,Ethyl_acetate,43
44,Ethyl_chloride,Ethyl_chloride,44
45,Ethylamine,Ethylamine,45
46,Ethylbenzene,Ethylbenzene,46
47,Ethylene,Ethylene,47
48,Ethylene_glycol,Ethylene_glycol,48
49,Ethylene_oxide,Ethylene_oxide,49
50,Formaldehyde,Formaldehyde,50
51,Helium,Helium,51
52,Hydrogen,Hydrogen,52
53,Hydrogen_chloride,Hydrogen_chloride,53
54,Hydrogen_cyanide,Hydrogen_cyanide,54
55,Hydrogen_sulfide,Hydrogen_sulfide,55
56,Iso-butanol,Iso-butanol,56
57,Isobutane,Isobutane,57
58,Isobutylene,Isobutylene,58
59,Isooctane,Isooctane,59
60,Krypton,Krypton,60
61,m-Xylene,m-Xylene,61
62,Methane,Methane,62
63,Methanol,Methanol,63
64,Methyl_acetate,Methyl_acetate,64
65,Methyl_chloride,Methyl_chloride,65
66,Methyl_ethyl_ketone,Methyl_ethyl_ketone,66
67,Methyl_t-butyl_ether,Methyl_t-butyl_ether,67
68,Methylamine,Methylamine,68
69,Methylcyclohexane,Methylcyclohexane,69
70,Methylcyclopentane,Methylcyclopentane,70
71,n-Butane,n-Butane,71
72,n-Butyric_acid,n-Butyric_acid,72
73,n-Decane,n-Decane,73
74,n-Eicosane,n-Eicosane,74
75,n-Heptane,n-Heptane,75
76,n-Hexane,n-Hexane,76
77,n-Nonane,n-Nonane,77
78,n-Octane,n-Octane,78
79,n-Pentane,n-Pentane,79
80,Naphthalene,Naphthalene,80
81,Nitric_acid,Nitric_acid,81
82,Nitric_oxide,Nitric_oxide,82
83,Nitrogen,Nitrogen,83
84,Nitrogen_dioxide,Nitrogen_dioxide,84
85,Nitromethane,Nitromethane,85
86,Nitrous_oxide,Nitrous_oxide,86
87,o-Xylene,o-Xylene,87
88,Oxygen,Oxygen,88
89,p-Xylene,p-Xylene,89
90,Phenol,Phenol,90
91,Propane,Propane,91
92,Propylene,Propylene,92
93,Styrene,Styrene,93
94,Sulfur_dioxide,Sulfur_dioxide,94
95,Sulfur_trioxide,Sulfur_trioxide,95
96,Sulfuric_acid,Sulfuric_acid,96
97,Tert-butanol,Tert-butanol,97
98,Tetrafluoroethane,Tetrafluoroethane,98
99,Toluene,Toluene,99
100,trans-2-Butene,trans-2-Butene,100
101,Water,Water,101
102,Xenon,Xenon,102
