Tr,Pr_0.01,Pr_0.05,Pr_0.1,Pr_0.2,Pr_0.4,Pr_0.6,Pr_0.8,Pr_1
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
0.5,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0013,0.0013
0.55,0.9705,0.0069,0.0068,0.0068,0.0066,0.0065,0.0064,0.0063
0.6,0.9795,0.0227,0.0226,0.0223,0.022,0.0216,0.0213,0.021
0.65,0.9863,0.9311,0.0572,0.0568,0.0559,0.0551,0.0543,0.0535
0.7,0.9908,0.9528,0.9036,0.1182,0.1163,0.1147,0.1131,0.1116
0.75,0.9931,0.9683,0.9332,0.2112,0.2078,0.205,0.2022,0.1994
0.8,0.9954,0.9772,0.955,0.9057,0.3302,0.3257,0.3212,0.3168
0.85,0.9977,0.9863,0.9705,0.9375,0.4774,0.4708,0.4654,0.459
0.9,0.9977,0.9908,0.9795,0.9594,0.9141,0.6323,0.625,0.6165
0.93,0.9977,0.9931,0.984,0.9705,0.9354,0.8953,0.7227,0.7144
0.95,0.9977,0.9931,0.9885,0.975,0.9484,0.9183,0.7888,0.7797
0.97,1.0,0.9954,0.9908,0.9795,0.9594,0.9354,0.9078,0.8413
0.98,1.0,0.9954,0.9908,0.9817,0.9638,0.944,0.9225,0.8729
0.99,1.0,0.9954,0.9931,0.984,0.9683,0.9528,0.9332,0.9036
1.0,1.0,0.9977,0.9931,0.9863,0.9727,0.9594,0.944,0.9311
1.01,1.0,0.9977,0.9931,0.9885,0.9772,0.9638,0.9528,0.9462
1.02,1.0,0.9977,0.9954,0.9908,0.9795,0.9705,0.9616,0.9572
1.05,1.0,0.9977,0.9977,0.9954,0.9885,0.9863,0.984,0.984
1.1,1.0,1.0,1.0,1.0,1.0023,1.0046,1.0093,1.0163
1.15,1.0,1.0,1.0023,1.0046,1.0116,1.0186,1.0257,1.0375
1.2,1.0,1.0023,1.0046,1.0069,1.0163,1.028,1.0399,1.0544
1.3,1.0,1.0023,1.0069,1.0116,1.0257,1.0399,1.0544,1.0716
1.4,1.0,1.0046,1.0069,1.0139,1.0304,1.0471,1.0642,1.0815
1.5,1.0,1.0046,1.0069,1.0163,1.0328,1.0496,1.0666,1.0865
1.6,1.0,1.0046,1.0069,1.0163,1.0328,1.0496,1.0691,1.0865
1.7,1.0,1.0046,1.0093,1.0163,1.0328,1.0496,1.0691,1.0865
1.8,1.0,1.0046,1.0069,1.0163,1.0328,1.0496,1.0666,1.084
1.9,1.0,1.0046,1.0069,1.0163,1.0328,1.0496,1.0666,1.0815
2.0,1.0,1.0046,1.0069,1.0163,1.0304,1.0471,1.0642,1.0815
2.2,1.0,1.0046,1.0069,1.0139,1.0304,1.0447,1.0593,1.0765
2.4,1.0,1.0046,1.0069,1.0139,1.028,1.0423,1.0568,1.0716
2.6,1.0,1.0023,1.0069,1.0139,1.0257,1.0399,1.0544,1.0666
2.8,1.0,1.0023,1.0069,1.0116,1.0257,1.0375,1.0496,1.0642
3.0,1.0,1.0023,1.0069,1.0116,1.0233,1.0352,1.0471,1.0593
3.5,1.0,1.0023,1.0046,1.0023,1.0209,1.0304,1.0423,1.052
4.0,1.0,1.0023,1.0046,1.0093,1.0186,1.028,1.0375,1.0471
