Tr,Pr_1,Pr_1.2,Pr_1.5,Pr_2,Pr_3,Pr_5,Pr_7,Pr_10
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001
0.5,0.0013,0.0013,0.0013,0.0012,0.0011,0.0009,0.0008,0.0006
0.55,0.0063,0.0062,0.0061,0.0058,0.0053,0.0045,0.0039,0.0031
0.6,0.021,0.0207,0.0202,0.0194,0.0179,0.0154,0.0133,0.0108
0.65,0.0536,0.0527,0.0516,0.0497,0.0461,0.0401,0.035,0.0289
0.7,0.1117,0.1102,0.1079,0.104,0.097,0.0851,0.0752,0.0629
0.75,0.1995,0.1972,0.1932,0.1871,0.1754,0.1552,0.1387,0.1178
0.8,0.317,0.3133,0.3076,0.2978,0.2812,0.2512,0.2265,0.1954
0.85,0.4592,0.4539,0.4457,0.4325,0.4093,0.3698,0.3365,0.2951
0.9,0.6166,0.6095,0.5998,0.5834,0.5546,0.5058,0.4645,0.413
0.93,0.7145,0.7063,0.695,0.6761,0.6457,0.5916,0.547,0.4898
0.95,0.7798,0.7691,0.7568,0.7379,0.7063,0.6501,0.6026,0.5432
0.97,0.8414,0.8318,0.8185,0.7998,0.7656,0.7096,0.6607,0.5984
0.98,0.873,0.863,0.8492,0.8298,0.7962,0.7379,0.6887,0.6266
0.99,0.9036,0.8913,0.879,0.859,0.8241,0.7674,0.7178,0.6546
1.0,0.9311,0.9204,0.9078,0.8872,0.8531,0.7962,0.7464,0.6823
1.01,0.9462,0.9462,0.9333,0.9162,0.8831,0.8241,0.7745,0.7096
1.02,0.9572,0.9661,0.9594,0.9419,0.9099,0.8531,0.8035,0.7379
1.05,0.984,0.9954,1.0186,1.0162,0.9886,0.9354,0.8872,0.8222
1.1,1.0162,1.028,1.0593,1.099,1.1015,1.0617,1.0186,0.9572
1.15,1.0375,1.052,1.0814,1.1376,1.1858,1.1722,1.1403,1.0864
1.2,1.0544,1.0691,1.099,1.1588,1.2388,1.2647,1.2474,1.205
1.3,1.0715,1.0914,1.1194,1.1776,1.2853,1.3868,1.4125,1.4061
1.4,1.0814,1.099,1.1298,1.1858,1.2942,1.4488,1.5171,1.5524
1.5,1.0864,1.1041,1.135,1.1858,1.2942,1.4689,1.574,1.652
1.6,1.0864,1.1041,1.135,1.1858,1.2883,1.4689,1.5996,1.714
1.7,1.0864,1.1041,1.1324,1.1803,1.2794,1.4622,1.6033,1.7458
1.8,1.0839,1.1015,1.1298,1.1749,1.2706,1.4488,1.5959,1.762
1.9,1.0814,1.099,1.1272,1.1695,1.2618,1.4355,1.5849,1.762
2.0,1.0814,1.0965,1.122,1.1641,1.2503,1.4191,1.5704,1.7539
2.2,1.0765,1.0914,1.1143,1.1535,1.2331,1.39,1.5346,1.7219
2.4,1.0715,1.0864,1.1066,1.1429,1.219,1.3614,1.4997,1.6866
2.6,1.0666,1.0814,1.1015,1.135,1.2023,1.3397,1.4689,1.6482
2.8,1.0641,1.0765,1.094,1.1272,1.1912,1.3183,1.4388,1.6144
3.0,1.0593,1.0715,1.0889,1.1194,1.1803,1.3002,1.4158,1.5813
3.5,1.052,1.0617,1.0789,1.1041,1.1561,1.2618,1.3614,1.5101
4.0,1.0471,1.0544,1.0691,1.0914,1.1403,1.2303,1.3213,1.4555
