Tr,Pr_0.01,Pr_0.05,Pr_0.1,Pr_0.2,Pr_0.4,Pr_0.6,Pr_0.8,Pr_1
0.3,-0.0008,-0.004,-0.0081,-0.0161,-0.0323,-0.0484,-0.0645,-0.0806
0.35,-0.0009,-0.0046,-0.0093,-0.0185,-0.037,-0.0554,-0.0738,-0.0921
0.4,-0.001,-0.0048,-0.0095,-0.019,-0.038,-0.057,-0.0758,-0.0946
0.45,-0.0009,-0.0047,-0.0094,-0.0187,-0.0374,-0.056,-0.0745,-0.0929
0.5,-0.0009,-0.0045,-0.009,-0.0181,-0.036,-0.0539,-0.0716,-0.0893
0.55,-0.0314,-0.0043,-0.0086,-0.0172,-0.0343,-0.0513,-0.0682,-0.0849
0.6,-0.0205,-0.0041,-0.0082,-0.0164,-0.0326,-0.0487,-0.0646,-0.0803
0.65,-0.0137,-0.0772,-0.0078,-0.0156,-0.0309,-0.0461,-0.0611,-0.0759
0.7,-0.0093,-0.0507,-0.1161,-0.0148,-0.0294,-0.0438,-0.0579,-0.0718
0.75,-0.0064,-0.0339,-0.0744,-0.0143,-0.0282,-0.0417,-0.055,-0.0681
0.8,-0.0044,-0.0228,-0.0487,-0.116,-0.0272,-0.0401,-0.0526,-0.0648
0.85,-0.0029,-0.0152,-0.0319,-0.0715,-0.0268,-0.0391,-0.0509,-0.0622
0.9,-0.0019,-0.0099,-0.0205,-0.0442,-0.1118,-0.0396,-0.0503,-0.0604
0.93,-0.0015,-0.0075,-0.0154,-0.0326,-0.0763,-0.1662,-0.0514,-0.0602
0.95,-0.0012,-0.0062,-0.0126,-0.0262,-0.0589,-0.111,-0.054,-0.0607
0.97,-0.001,-0.005,-0.0101,-0.0208,-0.045,-0.077,-0.1647,-0.0623
0.98,-0.0009,-0.0044,-0.009,-0.0184,-0.039,-0.0641,-0.11,-0.0641
0.99,-0.0008,-0.0039,-0.0079,-0.0161,-0.0335,-0.0531,-0.0796,-0.068
1.0,-0.0007,-0.0034,-0.0069,-0.014,-0.0285,-0.0435,-0.0588,-0.0879
1.01,-0.0006,-0.003,-0.006,-0.012,-0.024,-0.0351,-0.0429,-0.0223
1.02,-0.0005,-0.0026,-0.0051,-0.0102,-0.0198,-0.0277,-0.0303,-0.0062
1.05,-0.0003,-0.0015,-0.0029,-0.0054,-0.0092,-0.0097,-0.0032,0.022
1.1,0.0,0.0,0.0001,0.0007,0.0038,0.0106,0.0236,0.0476
1.15,0.0002,0.0011,0.0023,0.0052,0.0127,0.0237,0.0396,0.0625
1.2,0.0004,0.0019,0.0039,0.0084,0.019,0.0326,0.0499,0.0719
1.3,0.0006,0.003,0.0061,0.0125,0.0267,0.0429,0.0612,0.0819
1.4,0.0007,0.0036,0.0072,0.0147,0.0306,0.0477,0.0661,0.0857
1.5,0.0008,0.0039,0.0078,0.0158,0.0323,0.0497,0.0677,0.0864
1.6,0.0008,0.004,0.008,0.0162,0.033,0.0501,0.0677,0.0855
1.7,0.0008,0.004,0.0081,0.0163,0.0329,0.0497,0.0667,0.0838
1.8,0.0008,0.004,0.0081,0.0162,0.0325,0.0488,0.0652,0.0814
1.9,0.0008,0.004,0.0079,0.0159,0.0318,0.0477,0.0635,0.0792
2.0,0.0008,0.0039,0.0078,0.0155,0.031,0.0464,0.0617,0.0767
2.2,0.0007,0.0037,0.0074,0.0147,0.0293,0.0437,0.0579,0.0719
2.4,0.0007,0.0035,0.007,0.0139,0.0276,0.0411,0.0544,0.0675
2.6,0.0007,0.0033,0.0066,0.0131,0.026,0.0387,0.0512,0.0634
2.8,0.0006,0.0031,0.0062,0.0124,0.0245,0.0365,0.0483,0.0598
3.0,0.0006,0.0029,0.0059,0.0117,0.0232,0.0345,0.0456,0.0565
3.5,0.0005,0.0026,0.0052,0.0103,0.0204,0.0303,0.0401,0.0497
4.0,0.0005,0.0023,0.0046,0.0091,0.0182,0.027,0.0357,0.0443
