Tr,Pr_0.01,Pr_0.05,Pr_0.1,Pr_0.2,Pr_0.4,Pr_0.6,Pr_0.8,Pr_1
0.3,11.098,11.096,11.095,11.091,11.083,11.076,11.069,11.062
0.35,10.656,10.655,10.654,10.653,10.65,10.646,10.643,10.64
0.4,10.121,10.121,10.121,10.12,10.121,10.121,10.121,10.121
0.45,9.515,9.515,9.516,9.517,9.519,9.521,9.523,9.525
0.5,8.868,8.869,8.87,8.872,8.876,8.88,8.884,8.888
0.55,0.08,8.211,8.212,8.215,8.221,8.226,8.232,8.238
0.6,0.059,7.568,7.57,7.573,7.579,7.585,7.591,7.596
0.65,0.045,0.247,6.949,6.952,6.959,6.966,6.973,6.98
0.7,0.034,0.185,0.415,6.36,6.367,6.373,6.381,6.388
0.75,0.027,0.142,0.306,5.796,5.802,5.809,5.816,5.824
0.8,0.021,0.11,0.234,0.542,5.266,5.271,5.278,5.285
0.85,0.017,0.087,0.182,0.401,4.753,4.754,4.758,4.763
0.9,0.014,0.07,0.144,0.308,0.751,4.254,4.248,4.249
0.93,0.012,0.061,0.126,0.265,0.612,1.236,3.942,3.934
0.95,0.011,0.056,0.115,0.241,0.542,0.994,3.737,3.712
0.97,0.01,0.052,0.105,0.219,0.483,0.837,1.616,3.47
0.98,0.01,0.05,0.101,0.209,0.457,0.776,1.324,3.332
0.99,0.009,0.048,0.097,0.2,0.433,0.722,1.154,3.164
1.0,0.009,0.046,0.093,0.191,0.41,0.675,1.034,2.471
1.01,0.009,0.044,0.089,0.183,0.389,0.632,0.94,1.375
1.02,0.008,0.042,0.085,0.175,0.37,0.594,0.863,1.18
1.05,0.007,0.037,0.075,0.153,0.318,0.498,0.691,0.877
1.1,0.006,0.03,0.061,0.123,0.251,0.381,0.507,0.617
1.15,0.005,0.025,0.05,0.099,0.199,0.296,0.385,0.459
1.2,0.004,0.02,0.04,0.08,0.158,0.232,0.297,0.349
1.3,0.003,0.013,0.026,0.052,0.1,0.142,0.177,0.203
1.4,0.002,0.008,0.016,0.032,0.06,0.083,0.1,0.111
1.5,0.001,0.005,0.009,0.018,0.032,0.042,0.048,0.049
1.6,0.0,0.002,0.004,0.007,0.012,0.013,0.011,0.005
1.7,0.0,0.0,0.0,0.0,0.003,0.009,0.017,0.027
1.8,0.0,0.001,0.003,0.006,0.015,0.025,0.037,0.051
1.9,0.001,0.003,0.005,0.011,0.023,0.037,0.053,0.07
2.0,0.001,0.003,0.007,0.015,0.03,0.047,0.065,0.085
2.2,0.001,0.005,0.01,0.02,0.04,0.062,0.083,0.106
2.4,0.001,0.006,0.012,0.023,0.047,0.071,0.095,0.12
2.6,0.001,0.006,0.013,0.026,0.052,0.078,0.104,0.13
2.8,0.001,0.007,0.014,0.028,0.055,0.082,0.11,0.137
3.0,0.001,0.007,0.014,0.029,0.058,0.086,0.114,0.142
3.5,0.002,0.008,0.016,0.031,0.062,0.092,0.122,0.152
4.0,0.002,0.008,0.016,0.032,0.064,0.096,0.127,0.158
