Tr,Pr_1,Pr_1.2,Pr_1.5,Pr_2,Pr_3,Pr_5,Pr_7,Pr_10
0.3,5.987,5.975,5.957,5.927,5.868,5.748,5.628,5.446
0.35,5.845,5.833,5.814,5.783,5.721,5.595,5.469,5.278
0.4,5.7,5.687,5.668,5.636,5.572,5.442,5.311,5.113
0.45,5.551,5.538,5.519,5.486,5.421,5.288,5.154,5.95
0.5,5.401,5.388,5.369,5.336,5.279,5.135,4.999,4.791
0.55,5.252,5.239,5.22,5.187,5.121,4.986,4.849,4.638
0.6,5.104,5.091,5.073,5.041,4.976,4.842,4.794,4.492
0.65,4.956,4.949,4.927,4.896,4.833,4.702,4.565,4.353
0.7,4.808,4.797,4.781,4.752,4.693,4.566,4.432,4.221
0.75,4.655,4.646,4.632,4.607,4.554,4.434,4.393,4.095
0.8,4.494,4.488,4.478,4.459,4.413,4.303,4.178,3.974
0.85,4.316,4.316,4.312,4.302,4.269,4.173,4.056,3.857
0.9,4.108,4.118,4.127,4.132,4.119,4.043,3.935,3.744
0.93,3.953,3.976,4.0,4.02,4.024,3.963,3.863,3.678
0.95,3.825,3.865,3.904,3.94,3.958,3.91,3.815,3.634
0.97,3.658,3.732,3.796,3.853,3.89,3.856,3.767,3.591
0.98,3.544,3.652,3.736,3.806,3.854,3.829,3.743,3.569
0.99,3.376,3.558,3.67,3.758,3.818,3.801,3.719,3.548
1.0,2.584,3.441,3.598,3.706,3.782,3.774,3.695,3.526
1.01,1.796,3.283,3.516,3.652,3.744,3.746,3.671,3.505
1.02,1.627,3.039,3.422,3.595,3.705,3.718,3.647,3.484
1.05,1.359,2.034,3.03,3.398,3.583,3.632,3.575,3.42
1.1,1.12,1.487,2.203,2.965,3.353,3.484,3.453,3.315
1.15,0.968,1.239,1.719,2.479,3.091,3.329,3.329,3.211
1.2,0.857,1.076,1.443,2.079,2.801,3.166,3.202,3.107
1.3,0.698,0.86,1.116,1.56,2.274,2.825,2.942,2.899
1.4,0.588,0.716,0.915,1.253,1.857,2.486,2.679,2.692
1.5,0.505,0.611,0.774,1.046,1.549,2.175,2.421,2.486
1.6,0.44,0.531,0.667,0.894,1.318,1.904,2.177,2.285
1.7,0.387,0.446,0.583,0.777,1.139,1.672,1.953,2.091
1.8,0.344,0.413,0.515,0.683,0.996,1.476,1.751,1.908
1.9,0.307,0.368,0.458,0.606,0.88,1.309,1.571,1.736
2.0,0.276,0.33,0.411,0.541,0.782,1.167,1.411,1.577
2.2,0.226,0.269,0.334,0.437,0.629,0.937,1.143,1.295
2.4,0.187,0.222,0.275,0.359,0.513,0.761,0.929,1.058
2.6,0.155,0.185,0.228,0.297,0.422,0.621,0.756,0.858
2.8,0.13,0.154,0.19,0.246,0.348,0.508,0.614,0.689
3.0,0.109,0.129,0.159,0.205,0.288,0.415,0.495,0.545
3.5,0.069,0.081,0.099,0.127,0.174,0.239,0.27,0.264
4.0,0.041,0.048,0.058,0.072,0.095,0.116,0.11,0.061
