t_C,T_K,P_kPa,Vf_cm3_g,Vfg_cm3_g,Vg_cm3_g,Uf_kJ_kg,Ufg_kJ_kg,Ug_kJ_kg,Hf_kJ_kg,Hfg_kJ_kg,Hg_kJ_kg,Sf_kJ_kgK,Sfg_kJ_kgK,Sg_kJ_kgK
0.0,273.15,0.611,1.0,206300.0,206300.0,0.04,2375.7,2.0,375.6,0.04,2501.7,2.0,5.0,1.6
0.01,273.16,0.611,1.0,206200.0,206200.0,0.0,2375.6,2.0,375.6,0.0,2501.6,2.0,5.0,1.6
1.0,274.15,0.657,1.0,192600.0,192600.0,4.17,2372.7,2.0,376.9,4.17,2499.2,2.0,5.0,3.4
2.0,275.15,0.705,1.0,179900.0,179900.0,8.39,2369.9,2.0,378.3,8.39,2496.8,2.0,5.0,5.2
3.0,276.15,0.757,1.0,168200.0,168200.0,12.6,2367.1,2.0,379.7,12.6,2494.5,2.0,5.0,7.1
4.0,277.15,0.813,1.0,157300.0,157300.0,16.8,2364.3,2.0,381.1,16.8,2492.1,2.0,5.0,8.9
5.0,278.15,0.872,1.0,147200.0,147200.0,21.01,2361.4,2.0,382.4,21.01,2489.7,2.0,5.0,10.7
6.0,279.15,0.935,1.0,137800.0,137800.0,25.21,2358.6,2.0,383.8,25.21,2487.4,2.0,5.0,12.6
7.0,280.15,1.001,1.0,129100.0,129100.0,29.41,2355.8,2.0,385.2,29.41,2485.0,2.0,5.0,14.4
8.0,281.15,1.072,1.0,121000.0,121000.0,33.6,2353.0,2.0,386.6,33.6,2482.6,2.0,5.0,16.2
9.0,282.15,1.147,1.0,113400.0,113400.0,37.8,2350.1,2.0,387.9,37.8,2480.3,2.0,5.0,18.1
10.0,283.15,1.227,1.0,106400.0,106400.0,41.99,2347.3,2.0,389.3,41.99,2477.9,2.0,5.0,19.9
11.0,284.15,1.312,1.0,99910.0,99910.0,46.18,2344.5,2.0,390.7,46.19,2475.5,2.0,5.0,21.7
12.0,285.15,1.401,1.0,93830.0,93840.0,50.38,2341.7,2.0,392.1,50.38,2473.2,2.0,5.0,23.6
13.0,286.15,1.497,1.001,88180.0,88180.0,54.56,2338.9,2.0,393.4,54.57,2470.8,2.0,5.0,25.4
14.0,287.15,1.597,1.001,82900.0,82900.0,58.75,2336.1,2.0,394.8,58.75,2468.5,2.0,5.0,27.2
15.0,288.15,1.704,1.001,77980.0,77980.0,62.94,2333.2,2.0,396.2,62.94,2466.1,2.0,5.0,29.1
16.0,289.15,1.817,1.001,73380.0,73380.0,67.12,2330.4,2.0,397.6,67.13,2463.8,2.0,5.0,30.9
17.0,290.15,1.936,1.001,69090.0,69090.0,71.31,2327.6,2.0,398.9,71.31,2461.4,2.0,5.0,32.7
18.0,291.15,2.062,1.001,65090.0,65090.0,75.49,2324.8,2.0,400.3,75.5,2459.0,2.0,5.0,34.5
19.0,292.15,2.196,1.002,61340.0,61340.0,79.68,2322.0,2.0,401.7,79.68,2456.7,2.0,5.0,36.4
20.0,293.15,2.337,1.002,57840.0,57840.0,83.86,2319.2,2.0,403.0,83.86,2454.3,2.0,5.0,38.2
21.0,294.15,2.485,1.002,54560.0,54560.0,88.04,2316.4,2.0,404.4,88.04,2452.0,2.0,5.0,40.0
22.0,295.15,2.642,1.002,51490.0,51490.0,92.22,2313.6,2.0,405.8,92.23,2449.6,2.0,5.0,41.8
23.0,296.15,2.808,1.002,48620.0,48620.0,96.4,2310.7,2.0,407.1,96.41,2447.2,2.0,5.0,43.6
24.0,297.15,2.982,1.003,45920.0,45930.0,100.6,2307.9,2.0,408.5,1.0,0.6,2444.9,2.0,5.0
25.0,298.15,3.166,1.003,43400.0,43400.0,104.8,2305.1,2.0,409.9,1.0,4.8,2442.5,2.0,5.0
26.0,299.15,3.36,1.003,41030.0,41030.0,108.9,2302.3,2.0,411.2,1.0,8.9,2440.2,2.0,5.0
27.0,300.15,3.564,1.003,38810.0,38810.0,113.1,2299.5,2.0,412.6,1.0,13.1,2437.8,2.0,5.0
28.0,301.15,3.778,1.004,36730.0,36730.0,117.3,2296.7,2.0,414.0,1.0,17.3,2435.4,2.0,5.0
29.0,302.15,4.004,1.004,34770.0,34770.0,121.5,2293.8,2.0,415.3,1.0,21.5,2433.1,2.0,5.0
30.0,303.15,4.241,1.004,32930.0,32930.0,125.7,2291.0,2.0,416.7,1.0,25.7,2430.7,2.0,556.4
31.0,304.15,4.491,1.005,31200.0,31200.0,129.8,2288.2,2.0,418.0,1.0,29.8,2428.3,2.0,558.2
32.0,305.15,4.753,1.005,29570.0,29570.0,134.0,2285.4,2.0,419.4,1.0,34.0,2425.9,2.0,560.0
33.0,306.15,5.029,1.005,28040.0,28040.0,138.2,2282.6,2.0,420.8,1.0,38.2,2423.6,2.0,561.8
34.0,307.15,5.318,1.006,26600.0,26600.0,142.4,2279.7,2.0,422.1,1.0,42.4,2421.2,2.0,563.6
35.0,308.15,5.622,1.006,25240.0,25240.0,146.6,2276.9,2.0,423.5,1.0,46.6,2418.8,2.0,565.4
36.0,309.15,5.94,1.006,23970.0,23970.0,150.7,2274.1,2.0,424.8,1.0,50.7,2416.4,2.0,567.2
37.0,310.15,6.274,1.007,22760.0,22760.0,154.9,2271.3,2.0,426.2,1.0,54.9,2414.1,2.0,569.0
38.0,311.15,6.624,1.007,21630.0,21630.0,159.1,2268.4,2.0,427.5,1.0,59.1,2411.7,2.0,570.8
39.0,312.15,6.991,1.007,20560.0,20560.0,163.3,2265.6,2.0,428.9,1.0,63.3,2409.3,2.0,572.6
40.0,313.15,7.375,1.008,19550.0,19550.0,167.4,2262.8,2.0,430.2,1.0,67.5,2406.9,2.0,574.4
41.0,314.15,7.777,1.008,18590.0,18590.0,171.6,2259.9,2.0,431.6,1.0,71.6,2404.5,2.0,576.2
42.0,315.15,8.198,1.009,17690.0,17690.0,175.8,2257.1,2.0,432.9,1.0,75.8,2402.1,2.0,577.9
43.0,316.15,8.639,1.009,16840.0,16840.0,180.0,2254.3,2.0,434.2,1.0,80.0,2399.7,2.0,579.7
44.0,317.15,9.1,1.009,16040.0,16040.0,184.2,2251.4,2.0,435.6,1.0,84.2,2397.3,2.0,581.5
45.0,318.15,9.582,1.01,15280.0,15280.0,188.3,2248.6,2.0,436.9,1.0,88.4,2394.9,2.0,583.3
46.0,319.15,1.0,0.09,1.01,14560.0,14560.0,192.5,2245.7,2.0,438.3,1.0,92.5,2392.5,2.0
